Interface,Model,task_type,category,task_id,task_completion_rate,avg_precision,avg_recall,f1_score,prompt_tokens,completion_tokens,execution_time,Cost,aggregate_category,aggregate_category_2
1_AX+MEM,1_GPT-4.1,Advanced,Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task1,1,1,1,1,"124,852","4,572",94.55697417,$0.29,Vague Product Search,Without_price
1_AX+MEM,1_GPT-4.1,Advanced,Webmall_Substitutes,Webmall_Substitutes_Task6,0,0,0,0,"112,426","3,331",79.30808902,$0.25,Vague Product Search,Without_price
1_AX+MEM,1_GPT-4.1,Advanced,Webmall_Substitutes,Webmall_Substitutes_Task5,1,1,1,1,"84,007","2,891",60.71115685,$0.19,Vague Product Search,Without_price
1_AX+MEM,1_GPT-4.1,Advanced,Webmall_Substitutes,Webmall_Substitutes_Task2,1,1,1,1,"87,475","3,889",69.72148371,$0.21,Vague Product Search,Without_price
1_AX+MEM,1_GPT-4.1,Advanced,Webmall_Substitutes,Webmall_Substitutes_Task1,0,0,0,0,"77,320","2,630",53.76272464,$0.18,Vague Product Search,Without_price
1_AX+MEM,1_GPT-4.1,Advanced,Webmall_Substitutes,Webmall_Substitutes_Task4,0,0,0,0,"183,638","4,583",91.96175694,$0.40,Vague Product Search,Without_price
1_AX+MEM,1_GPT-4.1,Advanced,Webmall_Substitutes,Webmall_Substitutes_Task3,0,0,0,0,"96,841","3,039",58.19292784,$0.22,Vague Product Search,Without_price
2_RAG_Agent,1_GPT-4.1,Basic,Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task1,1,1,1,1,"8,577",200,8.554608107,$0.02,Specific Product Search,Without_price
2_RAG_Agent,1_GPT-4.1,Basic,Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task2,1,1,1,1,"9,845",281,6.303523064,$0.02,Specific Product Search,Without_price
2_RAG_Agent,1_GPT-4.1,Basic,Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task3,1,1,1,1,"8,589",234,10.5366981,$0.02,Specific Product Search,Without_price
2_RAG_Agent,1_GPT-4.1,Basic,Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task4,1,1,1,1,"10,456",327,7.9823699,$0.02,Specific Product Search,Without_price
2_RAG_Agent,1_GPT-4.1,Basic,Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task5,1,1,1,1,"10,679",266,6.995335817,$0.02,Specific Product Search,Without_price
2_RAG_Agent,1_GPT-4.1,Basic,Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task6,1,1,1,1,"20,627","1,535",21.31981087,$0.05,Specific Product Search,Without_price
2_RAG_Agent,1_GPT-4.1,Basic,Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task7,1,1,1,1,"9,688",253,4.33263588,$0.02,Specific Product Search,Without_price
2_RAG_Agent,1_GPT-4.1,Basic,Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task8,1,1,1,1,"10,469",378,5.009227991,$0.02,Specific Product Search,Without_price
2_RAG_Agent,1_GPT-4.1,Basic,Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task9,1,1,1,1,"9,159",257,6.851447105,$0.02,Specific Product Search,Without_price
2_RAG_Agent,1_GPT-4.1,Basic,Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task10,1,1,1,1,"8,899",201,6.142306089,$0.02,Specific Product Search,Without_price
2_RAG_Agent,1_GPT-4.1,Basic,Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task11,1,1,1,1,"10,180",322,4.623197794,$0.02,Specific Product Search,Without_price
2_RAG_Agent,1_GPT-4.1,Basic,Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task12,1,1,1,1,"10,480",424,6.219730139,$0.02,Specific Product Search,Without_price
2_RAG_Agent,1_GPT-4.1,Basic,Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task1,1,1,1,1,"9,437",198,5.723579168,$0.02,Cheapest Product Search,Cheapest Product Search
2_RAG_Agent,1_GPT-4.1,Basic,Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task2,0,0.6666666667,1,0.8,"15,184",851,9.368610859,$0.04,Cheapest Product Search,Cheapest Product Search
2_RAG_Agent,1_GPT-4.1,Basic,Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task3,1,1,1,1,"13,148",461,5.49319005,$0.03,Cheapest Product Search,Cheapest Product Search
2_RAG_Agent,1_GPT-4.1,Basic,Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task4,1,1,1,1,"11,433",311,5.186470747,$0.03,Cheapest Product Search,Cheapest Product Search
2_RAG_Agent,1_GPT-4.1,Basic,Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task5,1,1,1,1,"9,133",226,4.024940014,$0.02,Cheapest Product Search,Cheapest Product Search
2_RAG_Agent,1_GPT-4.1,Basic,Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task6,1,1,1,1,"12,126",295,4.110275269,$0.03,Cheapest Product Search,Cheapest Product Search
2_RAG_Agent,1_GPT-4.1,Basic,Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task7,1,1,1,1,"10,239",376,4.891360998,$0.02,Cheapest Product Search,Cheapest Product Search
2_RAG_Agent,1_GPT-4.1,Basic,Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task8,1,1,1,1,"9,838",319,6.728957891,$0.02,Cheapest Product Search,Cheapest Product Search
2_RAG_Agent,1_GPT-4.1,Basic,Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task9,1,1,1,1,"8,329",203,4.908547878,$0.02,Cheapest Product Search,Cheapest Product Search
2_RAG_Agent,1_GPT-4.1,Basic,Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task10,1,1,1,1,"10,278",243,8.908400297,$0.02,Cheapest Product Search,Cheapest Product Search
2_RAG_Agent,1_GPT-4.1,Basic,Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task1,1,1,1,1,"11,259",272,5.013134003,$0.02,Specific Product Search,Without_price
2_RAG_Agent,1_GPT-4.1,Basic,Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task2,0,1,0.6,0.75,"9,365",281,7.704430103,$0.02,Specific Product Search,Without_price
2_RAG_Agent,1_GPT-4.1,Basic,Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task3,1,1,1,1,"12,732",457,5.225620031,$0.03,Specific Product Search,Without_price
2_RAG_Agent,1_GPT-4.1,Basic,Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task4,0,1,0.7272727273,0.8421052632,"26,795","1,111",15.44503021,$0.06,Specific Product Search,Without_price
2_RAG_Agent,1_GPT-4.1,Basic,Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task5,1,1,1,1,"13,444",563,6.560031176,$0.03,Specific Product Search,Without_price
2_RAG_Agent,1_GPT-4.1,Basic,Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task6,1,1,1,1,"10,353",169,4.335862875,$0.02,Specific Product Search,Without_price
2_RAG_Agent,1_GPT-4.1,Basic,Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task7,1,1,1,1,"10,312",367,8.17208004,$0.02,Specific Product Search,Without_price
2_RAG_Agent,1_GPT-4.1,Basic,Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task8,0,0.5,0.08333333333,0.1428571429,"12,417",210,4.479730844,$0.03,Specific Product Search,Without_price
2_RAG_Agent,1_GPT-4.1,Basic,Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task9,0,0.6666666667,1,0.8,"11,564",336,5.701425314,$0.03,Specific Product Search,Without_price
2_RAG_Agent,1_GPT-4.1,Basic,Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task10,0,0,0,0,"14,936",295,6.360678911,$0.03,Specific Product Search,Without_price
2_RAG_Agent,1_GPT-4.1,Basic,Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task11,0,0.1428571429,0.1666666667,0.1538461538,"17,789",929,17.40111184,$0.04,Specific Product Search,Without_price
2_RAG_Agent,1_GPT-4.1,Advanced,Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task1,1,1,1,1,"11,928",441,9.379451036,$0.03,Vague Product Search,Without_price
2_RAG_Agent,1_GPT-4.1,Advanced,Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task2,0,0.5333333333,1,0.6956521739,"19,857","1,401",13.39465213,$0.05,Vague Product Search,Without_price
2_RAG_Agent,1_GPT-4.1,Advanced,Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task3,0,0,0,0,"20,774",768,11.67750502,$0.05,Vague Product Search,Without_price
2_RAG_Agent,1_GPT-4.1,Advanced,Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task4,1,1,1,1,"25,460","1,313",19.35547113,$0.06,Vague Product Search,Without_price
2_RAG_Agent,1_GPT-4.1,Advanced,Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task5,0,1,0.75,0.8571428571,"11,313",383,6.057522297,$0.03,Vague Product Search,Without_price
2_RAG_Agent,1_GPT-4.1,Advanced,Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task6,1,1,1,1,"52,250",313,13.10382414,$0.11,Vague Product Search,Without_price
2_RAG_Agent,1_GPT-4.1,Advanced,Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task7,0,0,0,0,"10,181",379,5.178431988,$0.02,Vague Product Search,Without_price
2_RAG_Agent,1_GPT-4.1,Advanced,Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task8,0,0.3333333333,0.5,0.4,"14,345",714,8.593011856,$0.03,Vague Product Search,Without_price
2_RAG_Agent,1_GPT-4.1,Advanced,Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task1,0,0,0,0,"9,472",243,4.612262964,$0.02,Cheapest Product Search,Cheapest Product Search
