interface,model,task_id,total_search_invocations,total_elements_retrieved
benchmark_results_20251010_004313.json,gpt-5,Webmall_Cheapest_Product_Search_Task6,1,20
benchmark_results_20251010_004313.json,gpt-5,Webmall_Cheapest_Product_Search_Task7,23,675
benchmark_results_20251010_004313.json,gpt-5,Webmall_Cheapest_Product_Search_Task8,4,95
benchmark_results_20251010_004313.json,gpt-5,Webmall_Cheapest_Product_Search_Task9,1,15
benchmark_results_20251010_004313.json,gpt-5,Webmall_Checkout_Task1,0,0
benchmark_results_20251010_004313.json,gpt-5,Webmall_Checkout_Task2,0,0
benchmark_results_20251010_004313.json,gpt-5,Webmall_Checkout_Task3,0,0
benchmark_results_20251010_004313.json,gpt-5,Webmall_Checkout_Task4,0,0
benchmark_results_20251010_004313.json,gpt-5,Webmall_Checkout_Task5,0,0
benchmark_results_20251010_004313.json,gpt-5,Webmall_Checkout_Task6,0,0
benchmark_results_20251010_004313.json,gpt-5,Webmall_Checkout_Task7,0,0
benchmark_results_20251010_004313.json,gpt-5,Webmall_Checkout_Task8,0,0
benchmark_results_20251010_004313.json,gpt-5,Webmall_EndToEnd_Task1,1,15
benchmark_results_20251010_004313.json,gpt-5,Webmall_EndToEnd_Task2,2,45
benchmark_results_20251010_004313.json,gpt-5,Webmall_EndToEnd_Task3,7,195
benchmark_results_20251010_004313.json,gpt-5,Webmall_EndToEnd_Task4,1,15
benchmark_results_20251010_004313.json,gpt-5,Webmall_EndToEnd_Task5,1,20
benchmark_results_20251010_004313.json,gpt-5,Webmall_EndToEnd_Task6,1,15
benchmark_results_20251010_004313.json,gpt-5,Webmall_EndToEnd_Task7,2,35
benchmark_results_20251010_004313.json,gpt-5,Webmall_EndToEnd_Task8,2,45
benchmark_results_20251010_004313.json,gpt-5,Webmall_Find_Compatible_Products_Task1,7,195
benchmark_results_20251010_004313.json,gpt-5,Webmall_Find_Compatible_Products_Task2,23,438
benchmark_results_20251010_004313.json,gpt-5,Webmall_Find_Compatible_Products_Task3,10,290
benchmark_results_20251010_004313.json,gpt-5,Webmall_Find_Compatible_Products_Task4,11,320
benchmark_results_20251010_004313.json,gpt-5,Webmall_Find_Compatible_Products_Task5,4,110
benchmark_results_20251010_004313.json,gpt-5,Webmall_Single_Product_Search_Task1,4,105
benchmark_results_20251010_004313.json,gpt-5,Webmall_Single_Product_Search_Task10,8,215
benchmark_results_20251010_004313.json,gpt-5,Webmall_Single_Product_Search_Task11,4,95
benchmark_results_20251010_004313.json,gpt-5,Webmall_Single_Product_Search_Task12,4,100
benchmark_results_20251010_004313.json,gpt-5,Webmall_Single_Product_Search_Task2,1,15
benchmark_results_20251010_004313.json,gpt-5,Webmall_Single_Product_Search_Task3,10,270
benchmark_results_20251010_004313.json,gpt-5,Webmall_Single_Product_Search_Task4,1,30
benchmark_results_20251010_004313.json,gpt-5,Webmall_Single_Product_Search_Task5,6,125
benchmark_results_20251010_004313.json,gpt-5,Webmall_Single_Product_Search_Task6,2,45
benchmark_results_20251010_004313.json,gpt-5,Webmall_Single_Product_Search_Task7,3,60
benchmark_results_20251010_004313.json,gpt-5,Webmall_Single_Product_Search_Task8,4,85
benchmark_results_20251010_004313.json,gpt-5,Webmall_Single_Product_Search_Task9,2,60
benchmark_results_20251010_004313.json,gpt-5,Webmall_Substitutes_Task1,1,30
benchmark_results_20251010_004313.json,gpt-5,Webmall_Substitutes_Task2,2,50
benchmark_results_20251010_004313.json,gpt-5,Webmall_Substitutes_Task3,8,250
benchmark_results_20251010_004313.json,gpt-5,Webmall_Substitutes_Task4,3,90
benchmark_results_20251010_004313.json,gpt-5,Webmall_Substitutes_Task5,5,140
benchmark_results_20251010_004313.json,gpt-5,Webmall_Substitutes_Task6,4,105
