task_id,task_category,type,url,seen_in_history,model,agent_type,task_description,error_category,severity_level,analysis_note,product_name
Webmall_Add_To_Cart_Task7,Add_To_Cart,additional,https://webmall-2.informatik.uni-mannheim.de/product/antec-c8-gaming-case-w-glass-side-amp-front-e-atx-dual-chamber-mesh-panels-usb-c-black,N/A,GPT-4.1,NLWeb,<task>\nFind all offers for the Antec C8 ARGB Gaming Case and add each of them to the respective shopping cart of the shop where you found the offer.\n</task>,Incorrect_product_variant,2,"The product found is the Antec C8 Gaming Case, which lacks the ARGB feature specified in the search query. This is a different variant of the product, missing a key specification (ARGB lighting) that may be important to the user.","Antec C8 Gaming Case w/ Glass Side &amp;amp; Front, E-ATX, Dual Chamber, Mesh Panels, USB-C, Black"
Webmall_Add_To_Cart_Task7,Add_To_Cart,additional,https://webmall-2.informatik.uni-mannheim.de/product/antec-c8-gaming-case-w-glass-side-amp-front-e-atx-dual-chamber-mesh-panels-usb-c-black,N/A,GPT-4.1,MCP,<task>\nFind all offers for the Antec C8 ARGB Gaming Case and add each of them to the respective shopping cart of the shop where you found the offer.\n</task>,Incorrect_product_variant,2,"The product found is an Antec C8 Gaming Case, which lacks the ARGB feature specified in the search query. This is a different variant of the product, which may not satisfy the user's requirement for ARGB lighting.","Antec C8 Gaming Case w/ Glass Side &amp;amp; Front, E-ATX, Dual Chamber, Mesh Panels, USB-C, Black"
Webmall_Add_To_Cart_Task7,Webmall_Add_To_Cart,additional,https://webmall-2.informatik.uni-mannheim.de/product/antec-c8-gaming-case-w-glass-side-amp-front-e-atx-dual-chamber-mesh-panels-usb-c-white,N/A,GPT-4.1,RAG,\nFind all offers for the Antec C8 ARGB Gaming Case and add each of them to the respective shopping cart of the shop where you found the offer.\n,Incorrect_product_variant,2,"The product found is the Antec C8 Gaming Case, which lacks the ARGB feature specified in the search query. This is a different variant of the product, which is somewhat related but not an exact match.","Antec C8 Gaming Case w/ Glass Side &amp;amp; Front, E-ATX, Dual Chamber, Mesh Panels, USB-C, White"
Webmall_Add_To_Cart_Task7,Add_To_Cart,additional,https://webmall-2.informatik.uni-mannheim.de/product/antec-c8-gaming-case-w-glass-side-amp-front-e-atx-dual-chamber-mesh-panels-usb-c-white,N/A,GPT-4.1,NLWeb,<task>\nFind all offers for the Antec C8 ARGB Gaming Case and add each of them to the respective shopping cart of the shop where you found the offer.\n</task>,Incorrect_product_variant,2,"The product found is an Antec C8 Gaming Case, which lacks the ARGB feature specified in the search query. This makes it a different variant of the product, which may not satisfy the user's requirement for ARGB lighting.","Antec C8 Gaming Case w/ Glass Side &amp;amp; Front, E-ATX, Dual Chamber, Mesh Panels, USB-C, White"
Webmall_Add_To_Cart_Task7,Add_To_Cart,additional,https://webmall-2.informatik.uni-mannheim.de/product/antec-c8-gaming-case-w-glass-side-amp-front-e-atx-dual-chamber-mesh-panels-usb-c-white,N/A,GPT-4.1,MCP,<task>\nFind all offers for the Antec C8 ARGB Gaming Case and add each of them to the respective shopping cart of the shop where you found the offer.\n</task>,Incorrect_product_variant,2,"The product found is an Antec C8 Gaming Case, which lacks the ARGB feature specified in the search query. While it is the correct product type, it is missing a key specification (ARGB), leading to a different user experience.","Antec C8 Gaming Case w/ Glass Side &amp;amp; Front, E-ATX, Dual Chamber, Mesh Panels, USB-C, White"
Webmall_Best_Fit_Specific_Task10,Best_Fit_Specific,additional,https://webmall-2.informatik.uni-mannheim.de/product/dell-p3222qe-31-5-169-4k-uhd-usb-c-hub-ips-led-monitor,N/A,GPT-4.1,NLWeb,"<task>\nFind all offers for gaming monitors with a resolution higher than 1920x1080, a screen size of at least 27 inches, and a price below 600 euros.\n</task>",Partially_matching,2,"The product matches the resolution and screen size requirements but exceeds the specified price limit. It partially meets the search criteria but fails in an important aspect, which is the price.","Dell P3222QE 31.5"" 16:9 4K UHD USB-C Hub IPS LED Monitor"
Webmall_Best_Fit_Specific_Task10,Best_Fit_Specific,additional,https://webmall-2.informatik.uni-mannheim.de/product/dell-p3222qe-31-5-169-4k-uhd-usb-c-hub-ips-led-monitor,N/A,Sonnet,NLWeb,"<task>\nFind all offers for gaming monitors with a resolution higher than 1920x1080, a screen size of at least 27 inches, and a price below 600 euros.\n</task>",Partially_matching,2,The product matches the resolution and screen size requirements but exceeds the price limit specified in the query.,"Dell P3222QE 31.5"" 16:9 4K UHD USB-C Hub IPS LED Monitor"
Webmall_Best_Fit_Specific_Task10,Webmall_Best_Fit_Specific,additional,https://webmall-3.informatik.uni-mannheim.de/product/asus-proart-display-27-wqhd-professional-monitor-pa278cv-ips-2560-x-1440-5ms-hdmi-2-dp-daisy-chaining-usb-c-100-srgb-vesa,N/A,Sonnet,RAG,"\nFind all offers for gaming monitors with a resolution higher than 1920x1080, a screen size of at least 27 inches, and a price below 600 euros.\n",Not_an_error,0,"The product found matches all the search criteria: it is a gaming monitor with a resolution higher than 1920x1080 (2560x1440), a screen size of 27 inches, and a price below 600 euros (399.99 euros).","Asus ProArt Display 27"" WQHD Professional Monitor (PA278CV), IPS, 2560 x 1440, 5ms, HDMI, 2 DP (Daisy-chaining), USB-C, 100% sRGB, VESA"
Webmall_Best_Fit_Specific_Task10,Best_Fit_Specific,additional,https://webmall-3.informatik.uni-mannheim.de/product/dell-34-curved-usb-c-monitor-s3423dwc,N/A,GPT-4.1,MCP,"<task>\nFind all offers for gaming monitors with a resolution higher than 1920x1080, a screen size of at least 27 inches, and a price below 600 euros.\n</task>",Product_not_found,-1,Product could not be fetched from WooCommerce,
Webmall_Best_Fit_Specific_Task11,Webmall_Best_Fit_Specific,additional,"based on my analysis of the search results and product details, i found several fractal design pc gaming cases that meet your requirements for 240mm radiator support and 330mm gpu clearance. here are the qualifying models:

**cases that meet both requirements (240mm radiator + 330mm+ gpu support):**

1. **fractal design meshify 2 mini** - explicitly supports 331mm gpu & 280mm radiator (which includes 240mm)
2. **fractal design meshify 2 (standard e-atx models)** - support radiators up to 360mm front, 420mm top, 280mm base (includes 240mm), and based on e-atx specifications, should support gpus over 330mm
3. **fractal design meshify 2 xl** - supports radiators up to 480/420mm front, 480/420mm top, 280/240mm base, and being the xl version, has even more gpu clearance

the meshify 2 mini is specifically advertised with 331mm gpu support and 280mm radiator support, making it a perfect match. the standard meshify 2 and meshify 2 xl models support larger radiators (up to 360mm+ and 480mm+ respectively) which includes 240mm support, and as e-atx cases, they should easily accommodate gpus over 330mm in length.

[""https://webmall-1.informatik.uni-mannheim.de/product/fractal-design-meshify-2-mini-black-tg-gaming-case-w-dark-glass-window-micro-atx-angular-mesh-usb-c-331mm-gpu-280mm-radiator-support/"", ""https://webmall-4.informatik.uni-mannheim.de/product/fractal-design-meshify-2-mini-black-tg-gaming-case-w-dark-glass-window-micro-atx-angular-mesh-usb-c-331mm-gpu-280mm-radiator-support/"", ""https://webmall-1.informatik.uni-mannheim.de/product/fractal-design-meshify-2-black-solid-gaming-case-e-atx-angular-mesh-front-3-fans-fan-hub-detachable-front-filter-usb-c/"", ""https://webmall-2.informatik.uni-mannheim.de/product/fractal-design-meshify-2-black-solid-gaming-case-e-atx-angular-mesh-front-3-fans-fan-hub-detachable-front-filter-usb-c/"", ""https://webmall-1.informatik.uni-mannheim.de/product/fractal-design-meshify-2-black-tg-gaming-case-w-dark-tint-glass-window-e-atx-angular-mesh-front-3-fans-fan-hub-detachable-front-filter-usb-c/"", ""https://webmall-2.informatik.uni-mannheim.de/product/fractal-design-meshify-2-black-tg-gaming-case-w-dark-tint-glass-window-e-atx-angular-mesh-front-3-fans-fan-hub-detachable-front-filter-usb-c/"", ""https://webmall-4.informatik.uni-mannheim.de/product/fractal-design-meshify-2-black-tg-gaming-case-w-dark-tint-glass-window-e-atx-angular-mesh-front-3-fans-fan-hub-detachable-front-filter-usb-c/"", ""https://webmall-4.informatik.uni-mannheim.de/product/fractal-design-meshify-2-black-solid-gaming-case-e-atx-angular-mesh-front-3-fans-fan-hub-detachable-front-filter-usb-c/"", ""https://webmall-2.informatik.uni-mannheim.de/product/fractal-design-meshify-2-xl-black-tg-gaming-case-w-light-tint-glass-window-e-atx-angular-mesh-front-3-fans-fan-hub-",N/A,Sonnet,RAG,\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n,URL_parse_failed,-1,Could not extract shop and product from URL,
Webmall_Best_Fit_Specific_Task11,Webmall_Best_Fit_Specific,additional,https://webmall-1.informatik.uni-mannheim.de/product/fractal-design-meshify-2-black-tg-gaming-case-w-dark-tint-glass-window-e-atx-angular-mesh-front-3-fans-fan-hub-detachable-front-filter-usb-c,N/A,GPT-4.1,RAG,\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n,Partially_matching,2,"The product found is a Fractal Design PC Gaming Case, which matches the brand and product type. However, the specifications regarding support for 240mm radiators and 330mm GPUs are not confirmed in the provided information, making it a partially matching result.","Fractal Design Meshify 2 (Black TG) Gaming Case w/ Dark Tint Glass Window, E-ATX, Angular Mesh Front, 3 Fans, Fan Hub, Detachable Front Filter, USB-C"
Webmall_Best_Fit_Specific_Task11,Best_Fit_Specific,additional,https://webmall-1.informatik.uni-mannheim.de/product/fractal-design-meshify-2-black-tg-gaming-case-w-dark-tint-glass-window-e-atx-angular-mesh-front-3-fans-fan-hub-detachable-front-filter-usb-c,N/A,GPT-4.1,NLWeb,<task>\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n</task>,Partially_matching,2,"The product found is a Fractal Design PC Gaming Case, which matches the brand and product type. However, the specifications regarding support for 240mm radiators and 330mm GPUs are missing, making it a partial match.","Fractal Design Meshify 2 (Black TG) Gaming Case w/ Dark Tint Glass Window, E-ATX, Angular Mesh Front, 3 Fans, Fan Hub, Detachable Front Filter, USB-C"
Webmall_Best_Fit_Specific_Task11,Best_Fit_Specific,additional,https://webmall-1.informatik.uni-mannheim.de/product/fractal-design-meshify-2-black-tg-gaming-case-w-dark-tint-glass-window-e-atx-angular-mesh-front-3-fans-fan-hub-detachable-front-filter-usb-c,N/A,Sonnet,NLWeb,<task>\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n</task>,Partially_matching,2,"The product found is a Fractal Design PC Gaming Case, matching the brand and product type. However, the specifications regarding support for 240mm radiators and 330mm GPUs are not provided, making it a partial match.","Fractal Design Meshify 2 (Black TG) Gaming Case w/ Dark Tint Glass Window, E-ATX, Angular Mesh Front, 3 Fans, Fan Hub, Detachable Front Filter, USB-C"
Webmall_Best_Fit_Specific_Task11,Best_Fit_Specific,additional,https://webmall-1.informatik.uni-mannheim.de/product/fractal-design-meshify-2-black-tg-gaming-case-w-dark-tint-glass-window-e-atx-angular-mesh-front-3-fans-fan-hub-detachable-front-filter-usb-c,N/A,GPT-4.1,MCP,<task>\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n</task>,Partially_matching,2,"The product found is a Fractal Design PC Gaming Case, which matches the brand and product type. However, the listing does not specify support for 240mm radiators and 330mm GPUs, which are important specifications for the user's query. Therefore, it partially matches the search criteria but lacks critical details.","Fractal Design Meshify 2 (Black TG) Gaming Case w/ Dark Tint Glass Window, E-ATX, Angular Mesh Front, 3 Fans, Fan Hub, Detachable Front Filter, USB-C"
Webmall_Best_Fit_Specific_Task11,Best_Fit_Specific,additional,https://webmall-1.informatik.uni-mannheim.de/product/fractal-design-meshify-2-black-tg-gaming-case-w-dark-tint-glass-window-e-atx-angular-mesh-front-3-fans-fan-hub-detachable-front-filter-usb-c,N/A,Sonnet,MCP,<task>\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n</task>,Partially_matching,2,"The product found is a Fractal Design PC Gaming Case, which matches the brand and type. However, the specifications regarding support for 240mm radiators and 330mm GPUs are not mentioned, making it a partial match.","Fractal Design Meshify 2 (Black TG) Gaming Case w/ Dark Tint Glass Window, E-ATX, Angular Mesh Front, 3 Fans, Fan Hub, Detachable Front Filter, USB-C"
Webmall_Best_Fit_Specific_Task11,Best_Fit_Specific,additional,https://webmall-1.informatik.uni-mannheim.de/product/fractal-design-meshify-2-compact-rgb-black-tg-gaming-case-w-light-tint-glass-window-atx-angular-mesh-front-4-rgb-fans-rgb-controller-usb-c,N/A,GPT-4.1,NLWeb,<task>\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n</task>,Partially_matching,2,"The product found is a Fractal Design PC Gaming Case, matching the brand and product type. However, it lacks specific details about supporting 240mm radiators and 330mm GPUs, which are critical specifications for the user's query.","Fractal Design Meshify 2 Compact RGB (Black TG) Gaming Case w/ Light Tint Glass Window, ATX, Angular Mesh Front, 4 RGB Fans, RGB Controller, USB-C"
Webmall_Best_Fit_Specific_Task11,Best_Fit_Specific,additional,https://webmall-1.informatik.uni-mannheim.de/product/fractal-design-meshify-2-compact-rgb-black-tg-gaming-case-w-light-tint-glass-window-atx-angular-mesh-front-4-rgb-fans-rgb-controller-usb-c,N/A,Sonnet,NLWeb,<task>\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n</task>,Partially_matching,2,"The product is a Fractal Design PC Gaming Case, which matches the brand and product type. However, the specifications regarding support for 240mm radiators and 330mm GPUs are not confirmed in the product description, making it a partial match.","Fractal Design Meshify 2 Compact RGB (Black TG) Gaming Case w/ Light Tint Glass Window, ATX, Angular Mesh Front, 4 RGB Fans, RGB Controller, USB-C"
Webmall_Best_Fit_Specific_Task11,Best_Fit_Specific,additional,https://webmall-1.informatik.uni-mannheim.de/product/fractal-design-meshify-2-compact-rgb-black-tg-gaming-case-w-light-tint-glass-window-atx-angular-mesh-front-4-rgb-fans-rgb-controller-usb-c,N/A,Sonnet,MCP,<task>\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n</task>,Partially_matching,2,"The product found is a Fractal Design PC Gaming Case, matching the brand and product type. However, the specifications regarding support for 240mm radiators and 330mm GPUs are not confirmed, making it a partial match.","Fractal Design Meshify 2 Compact RGB (Black TG) Gaming Case w/ Light Tint Glass Window, ATX, Angular Mesh Front, 4 RGB Fans, RGB Controller, USB-C"
Webmall_Best_Fit_Specific_Task11,Best_Fit_Specific,additional,https://webmall-1.informatik.uni-mannheim.de/product/fractal-design-meshify-2-white-tg-gaming-case-w-clear-glass-window-e-atx-angular-mesh-front-3-fans-fan-hub-detachable-front-filter-usb-c-white,N/A,GPT-4.1,NLWeb,<task>\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n</task>,Partially_matching,2,"The product matches the brand and general product type (Fractal Design PC Gaming Case) but lacks specific features requested in the query, such as support for 240mm radiators and 330mm GPUs.","Fractal Design Meshify 2 (White TG) Gaming Case w/ Clear Glass Window, E-ATX, Angular Mesh Front, 3 Fans, Fan Hub, Detachable Front Filter, USB-C, White"
Webmall_Best_Fit_Specific_Task11,Best_Fit_Specific,additional,https://webmall-1.informatik.uni-mannheim.de/product/fractal-design-meshify-2-white-tg-gaming-case-w-clear-glass-window-e-atx-angular-mesh-front-3-fans-fan-hub-detachable-front-filter-usb-c-white,N/A,Sonnet,NLWeb,<task>\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n</task>,Partially_matching,2,"The product found is a Fractal Design PC Gaming Case, which matches the brand and general product type, but the specific features requested (support for 240mm radiators and 330mm GPUs) are not confirmed in the provided information. Therefore, it partially matches the query but lacks important specifications.","Fractal Design Meshify 2 (White TG) Gaming Case w/ Clear Glass Window, E-ATX, Angular Mesh Front, 3 Fans, Fan Hub, Detachable Front Filter, USB-C, White"
Webmall_Best_Fit_Specific_Task11,Best_Fit_Specific,additional,https://webmall-1.informatik.uni-mannheim.de/product/fractal-design-meshify-2-white-tg-gaming-case-w-clear-glass-window-e-atx-angular-mesh-front-3-fans-fan-hub-detachable-front-filter-usb-c-white,N/A,GPT-4.1,MCP,<task>\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n</task>,Partially_matching,2,"The product found is a Fractal Design PC Gaming Case, which matches the brand and product type. However, the specifications regarding support for 240mm radiators and 330mm GPUs are not confirmed in the provided details, making it a partial match.","Fractal Design Meshify 2 (White TG) Gaming Case w/ Clear Glass Window, E-ATX, Angular Mesh Front, 3 Fans, Fan Hub, Detachable Front Filter, USB-C, White"
Webmall_Best_Fit_Specific_Task11,Best_Fit_Specific,additional,https://webmall-1.informatik.uni-mannheim.de/product/fractal-design-meshify-2-white-tg-gaming-case-w-clear-glass-window-e-atx-angular-mesh-front-3-fans-fan-hub-detachable-front-filter-usb-c-white,N/A,Sonnet,MCP,<task>\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n</task>,Partially_matching,2,"The product found is a Fractal Design PC Gaming Case, which matches the brand and product type. However, the specifications regarding support for 240mm radiators and 330mm GPUs are not mentioned, making it a partial match.","Fractal Design Meshify 2 (White TG) Gaming Case w/ Clear Glass Window, E-ATX, Angular Mesh Front, 3 Fans, Fan Hub, Detachable Front Filter, USB-C, White"
Webmall_Best_Fit_Specific_Task11,Best_Fit_Specific,additional,https://webmall-1.informatik.uni-mannheim.de/product/fractal-design-north-xl-chalk-white-white-solid-case-e-atx-fine-mesh-side-3-pwm-fans-usb-c-oak-front,N/A,GPT-4.1,MCP,<task>\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n</task>,Partially_matching,2,"The product found is a Fractal Design PC case, which matches the brand and product type. However, the description does not specify support for 240mm radiators and 330mm GPUs, which are crucial specifications for the user's query. This makes it a partially matching product as it lacks important details.","Fractal Design North XL Chalk White (White Solid) Case, E-ATX, Fine Mesh Side, 3 PWM Fans, USB-C, Oak Front"
Webmall_Best_Fit_Specific_Task11,Best_Fit_Specific,additional,https://webmall-1.informatik.uni-mannheim.de/product/fractal-design-pop-silent-black-tg-gaming-case-w-clear-glass-window-atx-sound-damping-steel-foam-3-fans,N/A,GPT-4.1,MCP,<task>\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n</task>,Partially_matching,2,"The product found is a Fractal Design PC Gaming Case, matching the brand and type. However, it lacks the specified support for 240mm radiators and 330mm GPUs, which are important aspects of the search query.","Fractal Design Pop Silent (Black TG) Gaming Case w/ Clear Glass Window, ATX, Sound-Damping Steel &amp; Foam, 3 Fans"
Webmall_Best_Fit_Specific_Task11,Best_Fit_Specific,additional,https://webmall-1.informatik.uni-mannheim.de/product/fractal-design-ridge-white-sff-console-type-case-mini-itx-requires-sfx-sfx-l-psu-2-fans-pcie-4-0-riser-card-usb-c-horizontal-vertical-orientation,N/A,GPT-4.1,NLWeb,<task>\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n</task>,Partially_matching,2,"The product found is a Fractal Design PC Gaming Case, which matches the brand and general product type. However, it lacks the specific features requested in the query, namely support for 240mm radiators and 330mm GPUs.","Fractal Design Ridge (White) SFF Console-Type Case, Mini ITX, Requires SFX/SFX-L PSU, 2 Fans, PCIe 4.0 Riser Card, USB-C, Horizontal/Vertical Orientation"
Webmall_Best_Fit_Specific_Task11,Best_Fit_Specific,additional,https://webmall-1.informatik.uni-mannheim.de/product/fractal-design-ridge-white-sff-console-type-case-mini-itx-requires-sfx-sfx-l-psu-2-fans-pcie-4-0-riser-card-usb-c-horizontal-vertical-orientation,N/A,Sonnet,NLWeb,<task>\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n</task>,Partially_matching,2,"The product found is a Fractal Design PC case, which matches the brand and type. However, the specifications regarding support for 240mm radiators and 330mm GPUs are not mentioned, making it only a partial match.","Fractal Design Ridge (White) SFF Console-Type Case, Mini ITX, Requires SFX/SFX-L PSU, 2 Fans, PCIe 4.0 Riser Card, USB-C, Horizontal/Vertical Orientation"
Webmall_Best_Fit_Specific_Task11,Best_Fit_Specific,additional,https://webmall-1.informatik.uni-mannheim.de/product/fractal-design-torrent-compact-black-solid-gaming-case-e-atx-2-fans-fan-hub-front-grille-usb-c,N/A,GPT-4.1,MCP,<task>\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n</task>,Partially_matching,2,"The product found is a Fractal Design PC Gaming Case, which matches the brand and product type. However, the specifications regarding support for 240mm radiators and 330mm GPUs are not mentioned, making it unclear if it meets the user's requirements.","Fractal Design Torrent Compact (Black Solid) Gaming Case, E-ATX, 2 Fans, Fan Hub, Front Grille, USB-C"
